분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
자원관리관련건설업,생물자원관리보전관련건설업,환경부문 매출액,억원,원자료,0,242.75,346.6,"1,276.11","1,356.32","1,330.46","1,365.05","1,400.58","1,416.76"
자원관리관련건설업,산림관리관련건설업,매출액,억원,원자료,0,"19,041.64","17,968","51,247.91","52,323.42","65,686.81","94,494.77","95,341.33","95,682.71"
자원관리관련건설업,산림관리관련건설업,환경부문 매출액,억원,원자료,0,"3,964.56","9,839.54","10,306.59","10,485.44","10,062.83","9,911.84","10,035.14","9,776.86"
자원관리관련건설업,생물다양성및경관보호관련건설업,매출액,억원,원자료,0,"5,272.48","4,635.61","1,964.99","2,008.92","5,649.52","2,786.51","2,794.84","2,853.13"
자원관리관련건설업,생물다양성및경관보호관련건설업,환경부문 매출액,억원,원자료,0,500.92,"3,427.6","1,734.44","1,761.77","1,781.17","1,731.09","1,682.55","1,713.87"
자원관리관련건설업,생물다양성및바이오관련건설업,매출액,억원,원자료,0,"1,517.98","3,286.04","21,635.54","20,798.8","62,317.04","32,812.59","4,945.3","35,569.33"
자원관리관련건설업,생물다양성및바이오관련건설업,환경부문 매출액,억원,원자료,0,"1,517.98","1,615.08","8,705.06","2,545.57","13,450.3","6,870.19",855.67,"7,212.61"
자원관리관련서비스업,소계,매출액,억원,원자료,"2,607.65","823,893.49","359,050.93","663,287.95","660,449.14","659,420.42","713,064.26","752,918.7","727,986.11"
자원관리관련서비스업,소계,환경부문 매출액,억원,원자료,"2,476.03","77,777.08","89,015.24","97,823.38","96,841.72","91,755.73","95,692.55","99,727.31","96,561.53"
자원관리관련서비스업,폐자원에너지화관련서비스업,매출액,억원,원자료,0,"160,330.6","91,770.92","197,368.32","198,191.64","206,914.81","199,735.63","200,722.22","204,497.47"
자원관리관련서비스업,폐자원에너지화관련서비스업,환경부문 매출액,억원,원자료,0,"28,585.75","34,696.51","34,826.12","34,893.08","34,030.7","32,703.51","32,734.2","33,269.09"
자원관리관련서비스업,기후변화대응서비스업,매출액,억원,원자료,0,"401,023.43","1,887.08","282,635.66","289,954.03","298,571.05","299,180.19","299,729.14","303,133.63"
자원관리관련서비스업,기후변화대응서비스업,환경부문 매출액,억원,원자료,0,"9,768.07",599.32,"10,424.21","10,654.07","10,952.75","11,270.34","11,590.24","11,953.11"
자원관리관련서비스업,실내공기질통제서비스업,매출액,억원,원자료,0,"7,818.3","2,201.52","1,253.67","1,196.52","7,050.1","4,276.48","4,304.16","4,324.49"
자원관리관련서비스업,실내공기질통제서비스업,환경부문 매출액,억원,원자료,0,"3,396.13","1,915.98","1,113.65","1,060.53","1,130.45","1,114.18","1,107.58","1,147.88"
자원관리관련서비스업,열/에너지절약및회수관련서비스업,매출액,억원,원자료,0,"119,651.56","180,242.69","65,228.4","71,478.75","79,123.2","82,778.58","84,933.87","85,261.43"
자원관리관련서비스업,열/에너지절약및회수관련서비스업,환경부문 매출액,억원,원자료,0,"11,001.1","13,384.16","13,764.07","14,391.96","15,223.67","15,330.22","15,438.54","15,691.84"
자원관리관련서비스업,생물자원관리보전관련서비스업,매출액,억원,원자료,"2,607.65",752.42,"4,258.49","2,939.41","3,194.37","4,975.69","5,307.72","5,451.32","5,516.48"
