분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
자원관리관련건설업,소계,환경부문 투자액,억원,원자료,0,581.67,695.98,"3,773.62",845.88,"1,609.5",768.81,732.25,819.36
자원관리관련건설업,폐자원에너지화관련시설건설업,투자액,억원,원자료,0,"7,442.12",411.96,"3,045.35","3,054.72","3,185.07","3,412.12","3,655.25","3,595.39"
자원관리관련건설업,폐자원에너지화관련시설건설업,환경부문 투자액,억원,원자료,0,39.38,313.16,63.22,63.36,58.39,56.22,51.66,51.42
자원관리관련건설업,기후변화대응건설업,투자액,억원,원자료,0,4.63,101.13,146.57,148.18,158.18,145.86,134.32,136.54
자원관리관련건설업,기후변화대응건설업,환경부문 투자액,억원,원자료,0,0.19,30.81,33.32,33.61,35.25,31.15,27.41,27.53
자원관리관련건설업,열/에너지절약및회수관련건설업,투자액,억원,원자료,0,531.24,383.22,697.74,711.27,721.23,644.74,576.36,558.26
자원관리관련건설업,열/에너지절약및회수관련건설업,환경부문 투자액,억원,원자료,0,360.23,108.5,304.44,306.74,312.52,325.67,339.31,339.19
자원관리관련건설업,생물자원관리보전관련건설업,투자액,억원,원자료,0,38.87,2.36,33.11,35.39,37.4,38.32,39.32,40.15
자원관리관련건설업,생물자원관리보전관련건설업,환경부문 투자액,억원,원자료,0,38.12,2.36,31.96,33.76,36.31,34.98,33.65,34.19
자원관리관련건설업,산림관리관련건설업,투자액,억원,원자료,0,"3,938.94",162.65,330.7,339.57,348.68,376.25,405.67,402.13
자원관리관련건설업,산림관리관련건설업,환경부문 투자액,억원,원자료,0,138.41,159.69,219.85,223.87,235.32,227.31,219.81,218.4
자원관리관련건설업,생물다양성및경관보호관련건설업,투자액,억원,원자료,0,9.35,31.3,286.51,289.87,301.57,252.54,211.44,215.92
자원관리관련건설업,생물다양성및경관보호관련건설업,환경부문 투자액,억원,원자료,0,0.53,22.25,54.01,54.27,52.31,51.36,50.45,51.91
자원관리관련건설업,생물다양성및바이오관련건설업,투자액,억원,원자료,0,4.81,60.54,"3,850.33",274.56,"4,706.44",175.76,44.3,161.75
자원관리관련건설업,생물다양성및바이오관련건설업,환경부문 투자액,억원,원자료,0,4.81,59.21,"3,066.82",130.27,879.39,42.12,9.96,96.73
자원관리관련서비스업,소계,투자액,억원,원자료,119.75,"138,952.78","10,429.95","110,522.94","109,926.51","110,229.78","113,574.74","112,690.15","113,798.23"
자원관리관련서비스업,소계,환경부문 투자액,억원,원자료,117.57,"10,575.78","8,849.53","7,320.06","10,121.52","8,964.24","10,015.2","10,121.35","9,874.64"
자원관리관련서비스업,폐자원에너지화관련서비스업,투자액,억원,원자료,0,"4,552.27","1,396.14","1,230.71","1,236.31","1,326.32","1,449.4","1,583.5","1,592.15"
자원관리관련서비스업,폐자원에너지화관련서비스업,환경부문 투자액,억원,원자료,0,"3,993.29",633.25,653.91,654.32,664.19,636.73,610.89,613.24
자원관리관련서비스업,기후변화대응서비스업,투자액,억원,원자료,0,"81,082.48",14.42,"80,931.31","81,742.14","81,751.5","82,728.97","83,717.62","84,221.67"
자원관리관련서비스업,기후변화대응서비스업,환경부문 투자액,억원,원자료,0,653.94,6.87,"1,169.04","1,169.72","1,197.78","1,229.86","1,262.48","1,282.03"
자원관리관련서비스업,실내공기질통제서비스업,투자액,억원,원자료,0,89.61,25.27,44.52,42.5,43.5,42.62,41.71,43.89
자원관리관련서비스업,실내공기질통제서비스업,환경부문 투자액,억원,원자료,0,55.03,6.27,6.68,6.72,7.2,7.68,8.2,8.6
자원관리관련서비스업,열/에너지절약및회수관련서비스업,투자액,억원,원자료,0,"3,604.29",671.81,692.54,731.8,741.8,807.19,877.87,887.12
자원관리관련서비스업,열/에너지절약및회수관련서비스업,환경부문 투자액,억원,원자료,0,"1,305.89",504.78,491.87,516.83,512.34,529.09,546.47,543.05
자원관리관련서비스업,생물자원관리보전관련서비스업,투자액,억원,원자료,119.75,15.08,434.04,474.62,516.34,526.34,545.3,565.15,566.22
자원관리관련서비스업,생물자원관리보전관련서비스업,환경부문 투자액,억원,원자료,117.57,14.91,392.38,396.38,430.97,425.23,411.43,398.35,399.4
자원관리관련서비스업,산림관리관련서비스업,투자액,억원,원자료,0,"20,646.12",250.6,256.84,259.47,268.53,252.84,238.07,240.3
자원관리관련서비스업,산림관리관련서비스업,환경부문 투자액,억원,원자료,0,220.56,197.68,192.14,193.13,188.52,204.45,221.93,225.22
자원관리관련서비스업,산림관리및유지서비스업,투자액,억원,원자료,0,3.9,32.33,59.42,54.83,55.63,61.27,67.49,68.15
자원관리관련서비스업,산림관리및유지서비스업,환경부문 투자액,억원,원자료,0,2.58,32.31,40.95,37.61,38.92,42.64,46.71,47.25
자원관리관련서비스업,생물다양성및경관보호관련서비스업,투자액,억원,원자료,0,438.5,263.48,295.92,308.53,321.54,317.46,313.44,312.19
자원관리관련서비스업,생물다양성및경관보호관련서비스업,환경부문 투자액,억원,원자료,0,391.9,262.55,274.18,284.54,292.35,272.04,253.16,251.23
자원관리관련서비스업,생물다양성및바이오관련서비스업,투자액,억원,원자료,0,"28,520.53","7,341.86","26,537.06","25,034.58","25,194.62","27,369.69","25,285.3","25,866.55"
자원관리관련서비스업,생물다양성및바이오관련서비스업,환경부문 투자액,억원,원자료,0,"3,937.68","6,813.44","4,094.91","6,827.69","5,637.69","6,681.29","6,773.17","6,504.62"
자원관리관련유통업,소계,투자액,억원,원자료,"1,749.21","2,489.26",280.8,"1,996.77","1,843.17","2,001.59","2,038.27","2,074.92","2,116.35"
자원관리관련유통업,소계,환경부문 투자액,억원,원자료,759.11,759.4,271.14,497.06,458.25,498.35,514.86,531.97,568.89
자원관리관련유통업,재활용제품유통업,투자액,억원,원자료,"1,749.21","2,489.26",280.8,"1,996.77","1,843.17","2,001.59","2,038.27","2,074.92","2,116.35"
자원관리관련유통업,재활용제품유통업,환경부문 투자액,억원,원자료,759.11,759.4,271.14,497.06,458.25,498.35,514.86,531.97,568.89
청정기술관련제조업,소계,투자액,억원,원자료,0,"21,745.13","180,377.5","21,838.61","22,095.09","22,095.25","23,338.59","24,648.08","24,244.09"
청정기술관련제조업,소계,환경부문 투자액,억원,원자료,0,"1,929.23","1,854.27","1,878.65","1,896.22","1,923.49","1,823.54","1,728.96","1,740.95"
청정기술관련제조업,열/에너지절약및회수기기제조업,투자액,억원,원자료,0,"21,745.13","180,377.5","21,838.61","22,095.09","22,095.25","23,338.59","24,648.08","24,244.09"
청정기술관련제조업,열/에너지절약및회수기기제조업,환경부문 투자액,억원,원자료,0,"1,929.23","1,854.27","1,878.65","1,896.22","1,923.49","1,823.54","1,728.96","1,740.95"
